Date,Type,Description,Days
30 Mar 1999,AA,Full accounts made up to 31 December 1998,7852
11 Sep 1998,AA,Full accounts made up to 31 December 1997,8217
23 Sep 1997,AA,Full accounts made up to 31 December 1996,8582
